Altium Designer Pick and Place Locations
C:\Users\user\Nextcloud\PC-SYNC\Projects\_source_codes\_all_git_repos\bitsnap_snaps\pcba\snaps\PULSECAPS\Project Outputs for PULSECAPS\Pick Place for PULSECAPS.csv

========================================================================================================================
File Design Information:

Date:       18/02/22
Time:       16:55
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"C45","400BXW100MEFR16X30","TopLayer","C_CAN_TH_7.5MM_LEADS","241.5000","156.0000","180","C - CAPACITOR - ELECTROLYTIC - 100uF - 400V","241.5000","156.0000","245.2500","156.0000"
"C46","400BXW100MEFR16X30","TopLayer","C_CAN_TH_7.5MM_LEADS","261.5000","224.0000","180","C - CAPACITOR - ELECTROLYTIC - 100uF - 400V","261.5000","224.0000","265.2500","224.0000"
"C47","400BXW100MEFR16X30","TopLayer","C_CAN_TH_7.5MM_LEADS","261.5000","207.0000","180","C - CAPACITOR - ELECTROLYTIC - 100uF - 400V","261.5000","207.0000","265.2500","207.0000"
"C50","400BXW100MEFR16X30","TopLayer","C_CAN_TH_7.5MM_LEADS","261.7500","190.0000","180","C - CAPACITOR - ELECTROLYTIC - 100uF - 400V","261.7500","190.0000","265.5000","190.0000"
"C48","400BXW100MEFR16X30","TopLayer","C_CAN_TH_7.5MM_LEADS","261.5000","173.0000","180","C - CAPACITOR - ELECTROLYTIC - 100uF - 400V","261.5000","173.0000","265.2500","173.0000"
"C49","400BXW100MEFR16X30","TopLayer","C_CAN_TH_7.5MM_LEADS","261.5000","156.0000","180","C - CAPACITOR - ELECTROLYTIC - 100uF - 400V","261.5000","156.0000","265.2500","156.0000"
"C41","400BXW100MEFR16X30","TopLayer","C_CAN_TH_7.5MM_LEADS","241.5000","224.0000","180","C - CAPACITOR - ELECTROLYTIC - 100uF - 400V","241.5000","224.0000","245.2500","224.0000"
"C44","400BXW100MEFR16X30","TopLayer","C_CAN_TH_7.5MM_LEADS","241.5000","173.0000","180","C - CAPACITOR - ELECTROLYTIC - 100uF - 400V","241.5000","173.0000","245.2500","173.0000"
"C42","400BXW100MEFR16X30","TopLayer","C_CAN_TH_7.5MM_LEADS","241.5000","207.0000","180","C - CAPACITOR - ELECTROLYTIC - 100uF - 400V","241.5000","207.0000","245.2500","207.0000"
"C43","400BXW100MEFR16X30","TopLayer","C_CAN_TH_7.5MM_LEADS","241.5000","190.0000","180","C - CAPACITOR - ELECTROLYTIC - 100uF - 400V","241.5000","190.0000","245.2500","190.0000"
"R27","1206W4F1003T5E","TopLayer","R_1206","247.5000","238.0000","180","R - RESISTOR - SMD - 100k - 1% - 1206","247.5000","238.0000","248.9000","238.0000"
"R26","1206W4F1003T5E","TopLayer","R_1206","241.5000","238.0000","180","R - RESISTOR - SMD - 100k - 1% - 1206","241.5000","238.0000","242.9000","238.0000"
"R25","1206W4F1003T5E","TopLayer","R_1206","235.5000","238.0000","180","R - RESISTOR - SMD - 100k - 1% - 1206","235.5000","238.0000","236.9000","238.0000"
"R28","1206W4F1003T5E","TopLayer","R_1206","255.5000","238.0000","180","R - RESISTOR - SMD - 100k - 1% - 1206","255.5000","238.0000","256.9000","238.0000"
"R29","1206W4F1003T5E","TopLayer","R_1206","261.5000","238.0000","180","R - RESISTOR - SMD - 100k - 1% - 1206","261.5000","238.0000","262.9000","238.0000"
"R30","1206W4F1003T5E","TopLayer","R_1206","267.5000","238.0000","180","R - RESISTOR - SMD - 100k - 1% - 1206","267.5000","238.0000","268.9000","238.0000"
"J9","LS-601","TopLayer","LS-601","251.5000","137.5000","270","J - JACK - FUSEHOLDER - 6X30 - THT","251.5000","137.5000","251.5000","134.0000"
"J10","LS-601","TopLayer","LS-601","251.5000","109.0000","90","J - JACK - FUSEHOLDER - 6X30 - THT","251.5000","109.0000","251.5000","112.5000"
"C35","400BXW100MEFR16X30","TopLayer","C_CAN_TH_7.5MM_LEADS","194.5000","156.0000","180","C - CAPACITOR - ELECTROLYTIC - 100uF - 400V","194.5000","156.0000","198.2500","156.0000"
"C36","400BXW100MEFR16X30","TopLayer","C_CAN_TH_7.5MM_LEADS","214.5000","224.0000","180","C - CAPACITOR - ELECTROLYTIC - 100uF - 400V","214.5000","224.0000","218.2500","224.0000"
"C37","400BXW100MEFR16X30","TopLayer","C_CAN_TH_7.5MM_LEADS","214.5000","207.0000","180","C - CAPACITOR - ELECTROLYTIC - 100uF - 400V","214.5000","207.0000","218.2500","207.0000"
"C40","400BXW100MEFR16X30","TopLayer","C_CAN_TH_7.5MM_LEADS","214.7500","190.0000","180","C - CAPACITOR - ELECTROLYTIC - 100uF - 400V","214.7500","190.0000","218.5000","190.0000"
"C38","400BXW100MEFR16X30","TopLayer","C_CAN_TH_7.5MM_LEADS","214.5000","173.0000","180","C - CAPACITOR - ELECTROLYTIC - 100uF - 400V","214.5000","173.0000","218.2500","173.0000"
"C39","400BXW100MEFR16X30","TopLayer","C_CAN_TH_7.5MM_LEADS","214.5000","156.0000","180","C - CAPACITOR - ELECTROLYTIC - 100uF - 400V","214.5000","156.0000","218.2500","156.0000"
"C31","400BXW100MEFR16X30","TopLayer","C_CAN_TH_7.5MM_LEADS","194.5000","224.0000","180","C - CAPACITOR - ELECTROLYTIC - 100uF - 400V","194.5000","224.0000","198.2500","224.0000"
"C34","400BXW100MEFR16X30","TopLayer","C_CAN_TH_7.5MM_LEADS","194.5000","173.0000","180","C - CAPACITOR - ELECTROLYTIC - 100uF - 400V","194.5000","173.0000","198.2500","173.0000"
"C32","400BXW100MEFR16X30","TopLayer","C_CAN_TH_7.5MM_LEADS","194.5000","207.0000","180","C - CAPACITOR - ELECTROLYTIC - 100uF - 400V","194.5000","207.0000","198.2500","207.0000"
"C33","400BXW100MEFR16X30","TopLayer","C_CAN_TH_7.5MM_LEADS","194.5000","190.0000","180","C - CAPACITOR - ELECTROLYTIC - 100uF - 400V","194.5000","190.0000","198.2500","190.0000"
"R21","1206W4F1003T5E","TopLayer","R_1206","200.5000","238.0000","180","R - RESISTOR - SMD - 100k - 1% - 1206","200.5000","238.0000","201.9000","238.0000"
"R20","1206W4F1003T5E","TopLayer","R_1206","194.5000","238.0000","180","R - RESISTOR - SMD - 100k - 1% - 1206","194.5000","238.0000","195.9000","238.0000"
"R19","1206W4F1003T5E","TopLayer","R_1206","188.5000","238.0000","180","R - RESISTOR - SMD - 100k - 1% - 1206","188.5000","238.0000","189.9000","238.0000"
"R22","1206W4F1003T5E","TopLayer","R_1206","208.5000","238.0000","180","R - RESISTOR - SMD - 100k - 1% - 1206","208.5000","238.0000","209.9000","238.0000"
"R23","1206W4F1003T5E","TopLayer","R_1206","214.5000","238.0000","180","R - RESISTOR - SMD - 100k - 1% - 1206","214.5000","238.0000","215.9000","238.0000"
"R24","1206W4F1003T5E","TopLayer","R_1206","220.5000","238.0000","180","R - RESISTOR - SMD - 100k - 1% - 1206","220.5000","238.0000","221.9000","238.0000"
"J7","LS-601","TopLayer","LS-601","204.5000","137.5000","270","J - JACK - FUSEHOLDER - 6X30 - THT","204.5000","137.5000","204.5000","134.0000"
"J8","LS-601","TopLayer","LS-601","204.5000","109.0000","90","J - JACK - FUSEHOLDER - 6X30 - THT","204.5000","109.0000","204.5000","112.5000"
"C25","400BXW100MEFR16X30","TopLayer","C_CAN_TH_7.5MM_LEADS","147.5000","156.0000","180","C - CAPACITOR - ELECTROLYTIC - 100uF - 400V","147.5000","156.0000","151.2500","156.0000"
